county,perc_covered,not_covered_count,total_count,not_covered
01001,31.11,31,45,"010010211004,010010201001,010010210001,010010210003,010010207001,010010206002,010010208012,010010208034,010010209022,010010207002,010010207003,010010208032,010010209021,010010203002,010010208041,010010211002,010010208011,010010208042,010010201002,010010205011,010010208033,010010211001,010010209012,010010210002,010010208031,010010208013,010010208051,010010211003,010010206001,010010209011,010010208052"
01003,15.25,100,118,"010030113004,010030114091,010030114112,010030114194,010030110002,010030109071,010030111031,010030113001,010030109082,010030114131,010030101001,010030115012,010030108002,010030111021,010030114093,010030107082,010030106002,010030114122,010030109032,010030109031,010030114121,010030107101,010030103004,010030113003,010030107081,010030107103,010030107073,010030108003,010030114192,010030115041,010030114101,010030116041,010030116012,010030107093,010030103002,010030116042,010030114181,010030115033,010030107041,010030116014,010030116013,010030107062,010030107083,010030106001,010030115042,010030106003,010030101003,010030107061,010030114141,010030114191,010039900000,010030112021,010030113002,010030102001,010030109041,010030101002,010030105001,010030103005,010030111042,010030102002,010030107092,010030109063,010030104001,010030115043,010030112011,010030114102,010030107102,010030116011,010030105002,010030109033,010030109042,010030112012,010030108001,010030114133,010030114182,010030104003,010030116031,010030114104,010030115031,010030115011,010030107084,010030107091,010030105004,010030103003,010030116032,010030109072,010030105003,010030114092,010030114142,010030110001,010030114103,010030109043,010030103001,010030109061,010030107071,010030114172,010030114111,010030109081,010030109062,010030104002"
01005,0.00,22,22,"010059508001,010059503002,010059504003,010059508002,010059507002,010059505003,010059506001,010059504002,010059501001,010059504001,010059509003,010059509001,010059501002,010059507001,010059502003,010059505001,010059502001,010059502002,010059505002,010059503001,010059506002,010059509002"
01007,0.00,18,18,"010070100071,010070100012,010070100051,010070100082,010070100101,010070100093,010070100112,010070100052,010070100111,010070100081,010070100011,010070100062,010070100053,010070100072,010070100102,010070100091,010070100061,010070100092"
01009,0.00,43,43,"010090501072,010090503012,010090504001,010090504004,010090501054,010090506042,010090506031,010090501042,010090503021,010090501053,010090504003,010090501051,010090507022,010090507021,010090507011,010090505013,010090502002,010090503022,010090506043,010090501041,010090502001,010090505012,010090504002,010090505011,010090507014,010090506011,010090506044,010090503011,010090506013,010090505021,010090501061,010090506012,010090506033,010090501062,010090501031,010090505022,010090506041,010090507013,010090501071,010090501052,010090505023,010090507012,010090506032"
01011,0.00,9,9,"010119525003,010119522022,010119521001,010119522011,010119522021,010119522023,010119525002,010119522012,010119525001"
01013,0.00,19,19,"010139527001,010139533002,010139535001,010139534002,010139532001,010139534001,010139532003,010139530002,010139531002,010139531003,010139527002,010139529001,010139532002,010139530001,010139532004,010139529002,010139533001,010139528001,010139531001"
01015,8.41,98,107,"010150005002,010150025025,010150025033,010150020011,010150018022,010150024001,010150014004,010150002002,010150008001,010150013001,010150023001,010150018021,010150004001,010150014003,010150010004,010150021014,010150022001,010150020012,010150021041,010150010002,010150012013,010150011033,010150002001,010150021051,010150006002,010150022002,010150021021,010150011011,010150025031,010150012012,010150025041,010150017003,010150021011,010150023003,010150006001,010150015013,010150017001,010150011012,010150012021,010150020022,010150025024,010150011032,010150020023,010150025042,010150016001,010150011022,010150021052,010150025043,010150025032,010150005001,010150009002,010159819021,010159819011,010150018012,010150012023,010150015021,010150012022,010150021012,010150026003,010150023004,010150010001,010150018023,010150015012,010150007004,010150012011,010150020021,010150004002,010150024002,010150007003,010150014001,010150024003,010150025021,010150007002,010150025022,010150017004,010150015022,010159819031,010150003002,010150011021,010150007001,010150015011,010150018011,010150026001,010150014002,010150013002,010150025023,010150026004,010150018024,010150022003,010150022004,010150016003,010150016004,010150004003,010150011031,010150023002,010150026002,010150003001,010150021042"
01017,3.33,29,30,"010179546002,010179548001,010179548004,010179548003,010179540024,010179546003,010179538002,010179539001,010179548002,010179540011,010179542001,010179539003,010179538003,010179540022,010179543003,010179540023,010179548005,010179543001,010179543002,010179543004,010179547002,010179538001,010179547003,010179547004,010179539002,010179540012,010179547001,010179542002,010179540021"
01019,0.00,25,25,"010199557012,010199558021,010199560004,010199557011,010199560003,010199557023,010199557013,010199558022,010199559001,010199561011,010199561021,010199559002,010199559004,010199557021,010199558023,010199558011,010199560001,010199559003,010199557022,010199561012,010199560002,010199560005,010199561023,010199561022,010199558012"
01021,3.12,31,32,"010210601043,010210607012,010210604032,010210604041,010210606002,010210603004,010210601012,010210606001,010210601013,010210605003,010210601041,010210601014,010210607021,010210604012,010210607022,010210607011,010210603002,010210605002,010210601032,010210603001,010210604013,010210602001,010210601031,010210605001,010210604011,010210604031,010210604043,010210604042,010210601042,010210602002,010210603003"
01023,0.00,15,15,"010239570002,010239567003,010239568005,010239569002,010239567004,010239568003,010239569003,010239568001,010239567001,010239569001,010239568002,010239567002,010239568004,010239570001,010239569004"
01025,0.00,25,25,"010259576031,010259579011,010259580032,010259575001,010259579012,010259579022,010259577002,010259576043,010259575002,010259578005,010259576032,010259578002,010259578003,010259576041,010259579021,010259578006,010259579013,010259579024,010259580031,010259578001,010259579023,010259578004,010259577001,010259576011,010259576042"
01027,0.00,11,11,"010279590003,010279592002,010279589002,010279589003,010279589001,010279590001,010279590002,010279589004,010279591002,010279591001,010279592001"
01029,0.00,10,10,"010299597001,010299598001,010299596003,010299595001,010299598003,010299598002,010299596001,010299597002,010299596002,010299595002"
01031,16.67,30,36,"010310104001,010310104002,010310107001,010310106001,010310112062,010310109002,010310112032,010310101001,010310112063,010310105005,010310101002,010310109001,010310112041,010310112031,010310102001,010310102002,010310113003,010310105004,010310103001,010310106002,010310105003,010310113002,010310108001,010310108002,010310103002,010310113001,010310110001,010310105002,010310110002,010310105001"
01033,10.20,44,49,"010330209012,010330201004,010330207041,010330206004,010330208023,010330209022,010330206001,010330207043,010330207063,010330206002,010330201003,010330209023,010330203003,010330205004,010330208012,010330209013,010330205003,010330203002,010330209011,010330208022,010330203001,010330204001,010330207033,010330205001,010330209021,010330205002,010330201002,010330210004,010330208021,010330207064,010330201001,010330207051,010330210003,010330207061,010330204002,010330210002,010330206003,010330202002,010330208013,010330210001,010330208011,010330207062,010330207032,010330209024"
01035,0.00,12,12,"010359604002,010359606003,010359605001,010359602002,010359604001,010359605002,010359606001,010359603002,010359604003,010359603001,010359606002,010359602001"
01037,0.00,10,10,"010379610002,010379612004,010379611001,010379611003,010379610001,010379610003,010379612002,010379612001,010379611002,010379612003"
01039,2.63,37,38,"010399629002,010399626001,010399625002,010399628002,010399621001,010399618001,010399629001,010399620002,010399618002,010399616003,010399624003,010399627001,010399624004,010399628001,010399620004,010399630001,010399621002,010399625001,010399623001,010399619002,010399616002,010399630002,010399617003,010399624002,010399620001,010399617002,010399623003,010399627002,010399626002,010399619001,010399617001,010399616001,010399616004,010399623002,010399630004,010399624001,010399630003"
01041,0.00,13,13,"010419634001,010419634002,010419636001,010419636003,010419636002,010419635001,010419637003,010419637001,010419637004,010419637002,010419635002,010419639001,010419638001"
