county,perc_covered,not_covered_count,total_count,not_covered
01043,7.58,61,66,"010439642022,010439642012,010439643001,010439652001,010439653001,010439653002,010439654011,010439649022,010439647001,010439657001,010439641003,010439646001,010439655011,010439650012,010439656002,010439649013,010439641004,010439644001,010439643002,010439652002,010439642023,010439656003,010439646002,010439654012,010439651001,010439642021,010439657002,010439646003,010439645001,010439643003,010439655022,010439647002,010439650021,010439654024,010439656001,010439649011,010439641002,010439644002,010439643004,010439655024,010439641001,010439647003,010439655023,010439648001,010439654021,010439642011,010439649021,010439650022,010439649012,010439648003,010439645002,010439654023,010439653003,010439645003,010439655021,010439654013,010439651002,010439654022,010439650011,010439641005,010439642013"
01045,4.65,41,43,"010450200003,010450200001,010450204002,010450212002,010450208023,010450208011,010450213001,010450211024,010450213003,010450203002,010450208022,010450208025,010450213004,010450205001,010450202002,010450211013,010450211023,010450200002,010450211011,010450211021,010450214001,010450211012,010450213002,010450207002,010450201001,010450207004,010450203001,010450202001,010450201002,010450208012,010450207003,010450204001,010450211022,010450208021,010450214003,010450214004,010450212001,010450214002,010450205002,010450207001,010450201003"
01047,2.44,40,41,"010479572001,010479561021,010479569001,010479573011,010479568002,010479562011,010479561011,010479565004,010479566004,010479568001,010479562021,010479567011,010479561022,010479562022,010479568003,010479571001,010479573012,010479564002,010479564003,010479569002,010479565003,010479573021,010479573022,010479561013,010479563002,010479573013,010479562012,010479561012,010479564001,010479566001,010479569003,010479566002,010479570002,010479571002,010479565001,010479572002,010479567021,010479565002,010479563001,010479570001"
01049,1.79,55,56,"010499606022,010499612002,010499613001,010499613004,010499606011,010499601022,010499611003,010499610002,010499604024,010499611002,010499603011,010499614001,010499608003,010499609001,010499605004,010499601011,010499609002,010499608004,010499604023,010499613002,010499609003,010499614002,010499613005,010499612001,010499603021,010499602001,010499601012,010499602002,010499607032,010499604021,010499605002,010499603032,010499607031,010499610003,010499604022,010499604011,010499601021,010499601024,010499606021,010499606023,010499611001,010499608001,010499603031,010499610001,010499602003,010499608002,010499607033,010499601023,010499603033,010499605003,010499605001,010499609004,010499607021,010499607011,010499614003"
01051,5.77,49,52,"010510306003,010510301012,010510302003,010510304022,010510309011,010510309023,010510304023,010510309022,010510307011,010510313001,010510303001,010510304021,010510304011,010510309013,010510310012,010510307022,010510305001,010510308021,010510308012,010510309014,010510308011,010510310011,010510306001,010510306004,010510307023,010510310022,010510312001,010510304012,010510311002,010510307021,010510307012,010510301021,010510306002,010510313002,010510311001,010510312002,010510301031,010510313003,010510302004,010510305002,010510302002,010510301011,010510303002,010510309021,010510305003,010510311003,010510302001,010510308022,010510307013"
01053,9.38,29,32,"010539707002,010539704001,010539705003,010539704004,010539705002,010539706003,010539701003,010539703003,010539699002,010539703002,010539698022,010539704003,010539706001,010539703001,010539706004,010539707001,010539702002,010539701001,010539705001,010539699003,010539707003,010539701002,010539698021,010539705004,010539698024,010539699001,010539698011,010539704002,010539698023"
01055,7.78,83,90,"010550109001,010550013003,010550106022,010550108002,010550008002,010550008001,010550009002,010550010001,010550004004,010550013002,010550106021,010550110021,010550006002,010550004005,010550004002,010550016002,010550011001,010550003002,010550006001,010550011003,010550107001,010550105031,010550110013,010550110023,010550110022,010550104013,010550108001,010550009004,010550104022,010550017002,010550104023,010550102013,010550103003,010550106012,010550004001,010550103002,010550002001,010550101001,010550104021,010550016003,010550011002,010550106011,010550107002,010550102012,010550105042,010550112003,010550105051,010550004003,010550105041,010550012003,010550002002,010550012001,010550003001,010550101002,010550009003,010550016001,010550104014,010550110012,010550111002,010550009001,010550102011,010550106023,010550013001,010550111001,010550102021,010550003003,010550104024,010550105032,010550005001,010550105061,010550106013,010550105052,010550011004,010550102022,010550005002,010550110011,010550111003,010550002003,010550017001,010550105062,010550112001,010550103001,010550007001"
01057,5.26,18,19,"010570202005,010570200002,010570204001,010570201001,010570204003,010570203005,010570203001,010570204004,010570203003,010570204002,010570201003,010570203002,010570201002,010570202002,010570202001,010570200001,010570202004,010570203004"
01059,0.00,27,27,"010599734001,010599731001,010599734003,010599736002,010599730004,010599734002,010599729002,010599732003,010599735002,010599737022,010599729004,010599735001,010599730002,010599737011,010599736001,010599733001,010599733002,010599732002,010599731002,010599737031,010599737021,010599729003,010599730003,010599730001,010599732001,010599737032,010599729001"
01061,0.00,24,24,"010610504004,010610506003,010610503006,010610505002,010610506002,010610504003,010610505004,010610503004,010610504001,010610501003,010610501001,010610501004,010610505001,010610502001,010610503005,010610504002,010610503001,010610503003,010610506001,010610502002,010610505003,010610501002,010610504005,010610503002"
01063,0.00,11,11,"010630602002,010630601023,010630600002,010630601021,010630601022,010630600001,010630601011,010630602001,010630602004,010630602003,010630601012"
01065,0.00,15,15,"010650401002,010650403002,010650400003,010650404021,010650403001,010650405001,010650400001,010650404022,010650404012,010650401001,010650404011,010650405002,010650404013,010650402001,010650400002"
01067,0.00,16,16,"010670303001,010670303002,010670305003,010670304001,010670302001,010670304002,010670305002,010670306001,010670305004,010670302002,010670302003,010670301002,010670301001,010670305001,010670306002,010670303003"
01069,34.25,48,73,"010690416002,010690419022,010690409003,010690415001,010690403012,010690402031,010690414001,010690402061,010690401003,010690420003,010690414003,010690416004,010690419024,010690406001,010690421001,010690408022,010690408012,010690414002,010690419012,010690403011,010690412002,010690415005,010690417002,010690410001,010690420001,010690415002,010690415004,010690420004,010690421003,010690417001,010690419023,010690406002,010690419011,010690420002,010690408021,010690419021,010690408011,010690416003,010690416001,010690418001,010690403021,010690401002,010690401001,010690421004,010690415003,010690418002,010690409001,010690421002"
01071,2.27,43,44,"010719510001,010719506012,010719504003,010719508003,010719505001,010719510003,010719510004,010719502003,010719501012,010719503023,010719507002,010719502004,010719505002,010719511022,010719509011,010719503012,010719507004,010719501022,010719511012,010719511013,010719511021,010719508002,010719510002,010719506011,010719503011,010719507003,010719507001,010719511011,010719501021,010719504001,010719502001,010719508001,010719506022,010719501011,010719503022,010719503021,010719502002,010719506021,010719508004,010719501023,010719509022,010719509012,010719504002"
01073,39.62,352,583,"010730136014,010730121035,010730117091,010730038023,010730129113,010730112051,010730108062,010730059052,010730117092,010730129081,010730032001,010730129083,010730120044,010730101003,010730142091,010730140011,010730059102,010730130022,010730035001,010730124023,010730106031,010730143011,010730104012,010730144151,010730038034,010730105003,010730120032,010730136012,010730051031,010730106051,010730059033,010730110022,010730118062,010730110043,010730120012,010730057024,010730113013,010730117103,010730123061,010730033002,010730059053,010730118032,010730134004,010730120042,010730111103,010730112102,010730008004,010730108034,010730102002,010730129182,010730123062,010730113032,010730142073,010730141061,010730143034,010730111084,010730057023,010730121032,010730123023,010730100023,010730144082,010730016003,010730121042,010730124011,010730136015,010730023031,010730115002,010730001001,010730141062,010730119013,010730117061,010730124033,010730118042,010730103012,010730123021,010730040003,010730143042,010730042002,010730111152,010730109006,010730125004,010730011004,010730111153,010730103011,010730113042,010730106045,010730055002,010730030011,010730115003,010730141071,010730051012,010730142052,010730004005,010730133002,010730144091,010730127032,010730143031,010730119012,010730111091,010730051032,010730106042,010730031005,010730144122,010730016001,010730015003,010730116004,010730117062,010730121043,010730127014,010730100013,010730123042,010730053023,010730111102,010730100014,010730139022,010730109001,010730036006,010730034004,010730059103,010730111173,010730100022,010730030023,010730005001,010730059104,010730123022,010730007003,010730106041,010730143012,010730129112,010730117042,010730127031,010730104015,010730023032,010730109002,010730036005,010730107063,010730138012,010730118052,010730113031,010730101002,010730117081,010730059031,010730141041,010730143043,010730141072,010730023033,010730121041,010730141051,010730103013,010730014001,010730104013,010730115004,010730142092,010730034001,010730112083,010730024022,010730131003,010730016002,010730120041,010730003001,010730141042,010730111101,010730140021,010730111143,010730133003,010730037004,010730102001,010730012003,010730005002,010730040001,010730110031,010730008005,010730100021,010730008002,010730112061,010730143041,010730012004,010730112082,010730136013,010730024021,010730103022,010730008001,010730143013,010730128052,010730111104,010730104021,010730111121,010730142093,010730132002,010730034002,010730133001,010730015002,010730127011,010730113041,010730140013,010730112101,010730116002,010730019022,010730126023,010730127012,010730139011,010730123073,010730120031,010730131001,010730144062,010730125002,010730114012,010730004003,010730111082,010730027025,010730110041,010730140014,010730119043,010730051011,010730112091,010730118031,010730142084,010730111093,010730131002,010730127042,010730111141,010730126022,010730105002,010730112071,010730113011,010730039001,010730115001,010730138011,010730126024,010730001004,010730111161,010730120013,010730124012,010730059051,010730007001,010730038021,010730108071,010730140012,010730038022,010730129071,010730143044,010730121033,010730114021,010730121031,010730100012,010730059032,010730142082,010730116003,010730115005,010730022002,010730109003,010730033001,010730110021,010730016004,010730129141,010730100011,010730123071,010730059101,010730122001,010730019021,010730027024,010730112062,010730140022,010730112072,010730007002,010730120011,010730101001,010730112063,010730059091,010730038024,010730141054,010730124032,010730122002,010730114022,010730127041,010730127013,010730020001,010730123072,010730001003,010730029003,010730057013,010730142051,010730139021,010730057012,010730117043,010730119042,010730003003,010730127034,010730117083,010730113012,010730012001,010730001005,010730114023,010730107061,010730027022,010730125003,010730015001,010730111154,010730011006,010730103023,010730055001,010730108022,010730004004,010730130021,010730112081,010730125001,010730120043,010730111162,010730114011,010730111174,010730052001,010730008003,010730119011,010730142072,010730117071,010730021002,010730005004,010730120014,010730142061,010730111171,010730117041,010730035002,010730144042,010730126021,010730121034,010730134002,010730005003,010730011003,010730057011,010730011005,010730131004,010730141053,010730124021,010730123041,010730014002,010730108063,010730124022,010730056005,010730111131,010730124031,010730012002,010730132003,010730116001,010730119041,010730108041,010730141043,010730011002,010730105001,010730042001,010730035003,010730031004,010730142063"
01075,0.00,15,15,"010750301011,010750300004,010750300002,010750302004,010750301021,010750300003,010750301022,010750302001,010750302003,010750302002,010750301012,010750301013,010750301023,010750301014,010750300001"
01077,16.90,59,71,"010770116061,010770115021,010770115022,010770116062,010770117003,010770112002,010770108002,010770118013,010770114022,010770116031,010770118022,010770108001,010770114021,010770108003,010770111011,010770114011,010770111023,010770116021,010770114012,010770112001,010770115042,010770109012,010770115024,010770118012,010770116051,010770104001,010770116032,010770115032,010770117001,010770115041,010770116023,010770116024,010770116033,010770116052,010770112003,010770116022,010770115043,010770111012,010770113002,010770116034,010770118023,010770109013,010770118021,010770107001,010770113001,010770102002,010770118011,010770117004,010770107002,010770111013,010770115023,010770111014,010770106001,010770111022,010770110002,010770115031,010770101001,010770103002,010770117002"
01079,0.00,31,31,"010799792023,010799798003,010799795023,010799794001,010799791001,010799793003,010799792021,010799796003,010799799002,010799791002,010799792022,010799794003,010799794004,010799799001,010799793004,010799795021,010799794002,010799793001,010799795022,010799795012,010799798002,010799792012,010799796002,010799796001,010799797002,010799797001,010799798001,010799793002,010799796004,010799792011,010799795011"
01081,34.11,85,129,"010810410014,010810419022,010810420022,010810419031,010810420062,010810410023,010810411042,010810420021,010810410021,010810405021,010810419011,010810417032,010810418022,010810419032,010810418011,010810406071,010810411031,010810413002,010810417022,010810419023,010810420081,010810420091,010810406063,010810410012,010810417033,010810407002,010810420031,010810406024,010810417031,010810406022,010810412003,010810404014,010810416003,010810418031,010810412004,010810421031,010810405011,010810421041,010810410022,010810405022,010810413001,010810406052,010810410024,010810410011,010810413003,010810416001,010810417023,010810420033,010810407001,010810420023,010810421032,010810421013,010810406062,010810414004,010810421012,010810418033,010810409011,010810419033,010810405013,010810420082,010810420024,010810418012,010810419012,010810418023,010810417011,010810409012,010810414001,010810411043,010810414003,010810402022,010810418032,010810419021,010810420061,010810421044,010810412001,010810411032,010810420054,010810410013,010810421011,010810420051,010810418021,010810411011,010810421042,010810417021,010810421043"
01083,9.62,47,52,"010830212021,010830201012,010830203002,010830206001,010830208052,010830203001,010830202021,010830211011,010830210002,010830211012,010830208041,010830201041,010830207002,010830209001,010830204022,010830203003,010830211021,010830206002,010830202022,010830210001,010830212011,010830208042,010830205002,010830201032,010830208061,010830202013,010830212031,010830209002,010830202012,010830202023,010830204041,010830204023,010830204032,010830201011,010830208062,010830208031,010830201042,010830208051,010830204021,010830201031,010830204031,010830211022,010830212022,010830204042,010830212032,010830201013,010830202011"
01085,0.00,11,11,"010857811002,010857810003,010857810002,010857808002,010857808001,010857812002,010857810001,010857808003,010857812003,010857812001,010857811001"
01087,0.00,21,21,"010872323002,010872322001,010872323001,010872315001,010872316011,010872315002,010872316031,010872315003,010872320001,010872321001,010872322002,010872316022,010872319001,010872320002,010872317001,010872314001,010872318002,010872321002,010872319002,010872316021,010872318001"
01089,42.04,142,245,"010890110211,010890020001,010890013021,010890108022,010890105045,010890101011,010890103032,010890027221,010890104062,010890103042,010890003021,010890108011,010890002031,010890010002,010890105031,010890106252,010890110241,010890012002,010890103022,010890106291,010890109053,010890031002,010890105034,010890102003,010890107041,010890028013,010890029113,010890111002,010890109051,010890104041,010890114003,010890104051,010890003011,010890029122,010890110282,010890114004,010890005021,010890031003,010890101022,010890015002,010890107062,010890108013,010890004033,010890030002,010890112032,010890105033,010890109032,010890110283,010890106233,010890027011,010890029112,010890012001,010890031001,010890109052,010890106253,010890017001,010890107063,010890104032,010890109033,010890112023,010890114001,010890112031,010890105043,010890109022,010890004032,010890003012,010890107032,010890111001,010890106311,010890105022,010890025021,010890103031,010890107031,010890106261,010890029241,010890101012,010890110122,010890105021,010890103043,010890107061,010890007011,010890107043,010890019012,010890015003,010890007013,010890113022,010890110132,010890108023,010890104042,010890102002,010890109023,010890104031,010890106262,010890106272,010890103021,010890106122,010890005031,010890028031,010890002032,010890106123,010890007022,010890109021,010890003022,010890019021,010890104052,010890105041,010890107042,010890102001,010890101021,010890107052,010890103041,010890114002,010890113011,010890104061,010890014031,010890029121,010890014043,010890113023,010890108012,010890004031,010890101013,010890018013,010890113012,010890006011,010890109042,010890109041,010890113021,010890009011,010890021001,010890030001,010890003013,010890110242,010890005011,010890108021,010890007012,010890014032,010890005012,010890112011,010890106302,010890103044,010890107051,010890109031"
01091,0.00,25,25,"010919732001,010919731003,010919730022,010919729023,010919734004,010919733001,010919732003,010919729012,010919730023,010919729022,010919730025,010919734003,010919734005,010919734002,010919730021,010919732002,010919729011,010919734001,010919733003,010919729021,010919731001,010919731002,010919733002,010919730011,010919730024"
01093,0.00,29,29,"010939645002,010939640022,010939640021,010939646003,010939644012,010939641003,010939643001,010939646002,010939641001,010939644011,010939647011,010939641002,010939644022,010939647021,010939640011,010939640012,010939646001,010939647013,010939645003,010939640013,010939642001,010939643002,010939643004,010939647022,010939645001,010939644021,010939643005,010939647012,010939643003"
01095,6.76,69,74,"010950308044,010950302062,010950303012,010950312004,010950312003,010950302041,010950311003,010950301022,010950312001,010950310012,010950310011,010950307024,010950306022,010950304022,010950302042,010950307021,010950302032,010950305011,010950305012,010950302031,010950306012,010950305022,010950309033,010950311004,010950311001,010950311002,010950309042,010950310021,010950301012,010950306023,010950304011,010950305024,010950303011,010950309041,010950302063,010950307023,010950309023,010950302061,010950309031,010950304023,010950312002,010950308013,010950308041,010950301021,010950305023,010950304014,010950309043,010950305021,010950307012,010950307013,010950307022,010950308043,010950304012,010950304013,010950308012,010950302051,010950310022,010950303024,010950308031,010950301011,010950308014,010950306021,010950309044,010950304021,010950303021,010950308042,010950303022,010950307011,010950303023"
01097,38.62,205,334,"010970059001,010970056022,010970064032,010970066004,010970077001,010970067021,010970057011,010970034091,010970038001,010970049003,010970019011,010970066001,010970054002,010970070003,010970024002,010970034062,010970065013,010970061032,010970035011,010970058002,010970041001,010970063042,010970037071,010970057023,010970065042,010970077002,010970037082,010970056011,010970011002,010970034092,010970062011,010970064071,010970073004,010970073003,010970012002,010970024003,010970034102,010970059003,010970034022,010970004012,010970062012,010970076001,010970022003,010970034051,010970023021,010970015021,010970074001,010970061072,010970064091,010970020002,010970061042,010970065052,010970063031,010970072032,010970061022,010970076002,010970060003,010970053001,010970020001,010970069042,010970071022,010970071021,010970008012,010970063041,010970071012,010970064031,010970049002,010970023022,010970023012,010970057021,010970070004,010970026003,010970067031,010970012001,010970048001,010970071011,010970074004,010970064072,010970049001,010970069021,010970007021,010970072011,010970026002,010970071033,010970052002,010970070001,010970027002,010970060002,010970019021,010970069031,010970002002,010970064023,010970039012,010970050002,010970035012,010970063061,010970058003,010970037102,010970008013,010970066002,010970039011,010970064021,010970065051,010970052001,010970059002,010970067042,010970049004,010970063052,010970064132,010970067032,010970068041,010970028004,010970068043,010970063051,010970015011,010970025013,010970051001,010970036022,010970014003,010970014001,010970034041,010970060004,010970061071,010970068022,010970028005,010970065053,010970061061,010970015012,010970030002,010970064133,010970028001,010970018001,010970048002,010970075001,010970007023,010970004021,010970073002,010970068021,010970071031,010970065011,010970037101,010970069043,010970056021,010970058001,010970030001,010970067043,010970075002,010970063032,010970061062,010970036021,010970064022,010970062021,010970073001,010970061044,010970061021,010970004014,010970054001,010970067023,010970074002,010970051002,010970057012,010970069041,010970054003,010970060001,010970072041,010970061031,010970013021,010970057022,010970006001,010970067022,010970034103,010970064073,010970034081,010970036081,010970056023,010970061041,010970034021,010979800001,010970068023,010970039021,010979900000,010970067041,010970004011,010970063071,010970010011,010970033021,010970018002,010970064114,010970004013,010970070002,010970063072,010970055001,010970064102,010970019012,010970006002,010970072012,010970005001,010970072031,010970040001,010970065032,010970019023,010970061033,010970071032,010970065041,010970061043"
01099,0.00,21,21,"010990756001,010990759013,010990760002,010990758002,010990760001,010990758001,010990762002,010990759021,010990759011,010990759012,010990759023,010990761012,010990761021,010990761023,010990761022,010990757002,010990759022,010990762001,010990757001,010990760003,010990761011"
01101,55.67,90,203,"011010054091,011010057001,011010055032,011010051012,011010054072,011010061001,011010023002,011010029012,011010001001,011010054132,011010056132,011010007001,011010059023,011010058002,011010054124,011010023001,011010020001,011010056131,011010059041,011010010001,011010032005,011010054131,011010009001,011010004005,011010016001,011010059022,011010059043,011010051021,011010022021,011010003001,011010054023,011010060003,011010030002,011010055011,011010056081,011010030003,011010004004,011010059042,011010056043,011010054112,011010032003,011010055033,011010026004,011010012002,011010011001,011010025001,011010056042,011010056112,011010011004,011010011002,011010060001,011010059032,011010055021,011010054141,011010013002,011010005001,011010002002,011010055012,011010053011,011010055041,011010060004,011010011005,011010056101,011010004006,011010051011,011010058001,011010003002,011010056041,011010030001,011010053021,011010018001,011010022015,011010058003,011010057002,011010024002,011010051013,011010032001,011010010002,011010051022,011010024001,011010004007,011010015003,011010004002,011010060002,011010016002,011010054092,011010029021,011010059031,011010016004,011010009002"
01103,21.59,69,88,"011030052022,011030054053,011030051013,011030053052,011030051062,011030057042,011030053022,011030002001,011030009002,011030054052,011030007003,011030008002,011030054051,011030051051,011030053041,011030053051,011030053043,011030001001,011030004003,011030003001,011030053061,011030055002,011030051093,011030006001,011030051071,011030053063,011030052023,011030057011,011030051014,011030057012,011030051012,011030056022,011030010002,011030056021,011030057032,011030003002,011030051072,011030056012,011030053053,011030007002,011030055001,011030052012,011030053042,011030051081,011030054044,011030008001,011030051011,011030006002,011030054043,011030053023,011030052011,011030053034,011030007001,011030056011,011030055003,011030010001,011030057031,011030051063,011030052021,011030055004,011030053021,011030004004,011030051031,011030054041,011030054042,011030053044,011030053033,011030053062,011030057041"
01105,0.00,11,11,"011056870011,011056870021,011056870022,011056870023,011056871004,011056871001,011056871002,011056870024,011056870012,011056868001,011056871003"
01107,0.00,19,19,"011070502002,011070501001,011070504022,011070502001,011070500001,011070503004,011070500002,011070500004,011070504011,011070503003,011070501004,011070504021,011070503001,011070504012,011070504013,011070503002,011070501003,011070500003,011070501002"
01109,10.34,26,29,"011091886001,011091887001,011091893004,011091893001,011091887002,011091890033,011091888002,011091886002,011091890021,011091890012,011091889002,011091891022,011091893003,011091889004,011091891021,011091888001,011091893002,011091892002,011091891013,011091892001,011091890031,011091890011,011091889001,011091890032,011091890013,011091891023"
01111,0.00,19,19,"011110002003,011110002001,011110004003,011110004001,011110005002,011110001001,011110004004,011110004002,011110002002,011110003001,011110003003,011110005003,011110005001,011110001002,011110003002,011110005004,011110001003,011110006002,011110006001"
01113,24.44,34,45,"011130306011,011130307001,011130309052,011130312003,011130309071,011130309063,011130310003,011130312001,011130307002,011130304022,011130306021,011130305002,011130306013,011130311002,011130310001,011130309051,011130309073,011130309033,011130309072,011130309062,011130305001,011130308001,011130306012,011130306022,011130304032,011130309031,011130310002,011130311001,011130312002,011130308002,011130307003,011130309032,011130309042,011130304042"
01115,14.75,52,61,"011150402062,011150402061,011150402113,011150403021,011150401052,011150402102,011150405071,011150402081,011150404013,011150405042,011150401083,011150401072,011150402082,011150404022,011150402131,011150402121,011150401082,011150405041,011150405051,011150401081,011150405032,011150405072,011150401091,011150405062,011150402101,011150403012,011150402091,011150402112,011150401092,011150401053,011150401103,011150404021,011150403022,011150401073,011150402103,011150405043,011150404012,011150404011,011150403011,011150404023,011150405033,011150401044,011150405061,011150405031,011150405063,011150402072,011150401051,011150402122,011150405081,011150402071,011150402092,011150404014"
